time[s],m_in
678,5.41575014517747e-06
679,5.42348985641116e-06
680,5.43122885205775e-06
681,5.4389671321835e-06
682,5.44670469685466e-06
683,5.45444154613745e-06
684,5.46217768009808e-06
685,5.4699130988028e-06
686,5.4776478023178e-06
687,5.48538179070929e-06
688,5.49311506404348e-06
689,5.50084762238656e-06
690,5.5085794658047e-06
691,5.51631059436412e-06
692,5.52404100813097e-06
693,5.53177070717141e-06
694,5.53949969155163e-06
695,5.54722796133776e-06
696,5.55495551659595e-06
697,5.5626823573924e-06
698,5.57040848379321e-06
699,5.57813389586449e-06
700,5.5858585936724e-06
701,5.59358257728307e-06
702,5.60130584676257e-06
703,5.60902840217703e-06
704,5.61675024359259e-06
705,5.6244713710753e-06
706,5.63219178469123e-06
707,5.63991148450653e-06
708,5.64763047058725e-06
709,5.65534874299943e-06
710,5.66306630180919e-06
711,5.67078314708254e-06
712,5.67849927888557e-06
713,5.68621469728433e-06
714,5.69392940234481e-06
715,5.70164339413309e-06
716,5.70935667271519e-06
717,5.71706923815715e-06
718,5.72478109052494e-06
719,5.73249222988461e-06
720,5.74020265630217e-06
721,5.74791236984359e-06
722,5.75562137057485e-06
723,5.763329658562e-06
724,5.77103723387095e-06
725,5.77874409656774e-06
726,5.78645024671827e-06
727,5.79415568438853e-06
728,5.80186040964453e-06
729,5.80956442255213e-06
730,5.8172677231773e-06
731,5.82497031158601e-06
732,5.83267218784418e-06
733,5.84037335201771e-06
734,5.84807380417254e-06
735,5.85577354437459e-06
736,5.86347257268976e-06
737,5.87117088918393e-06
738,5.878868493923e-06
739,5.88656538697291e-06
740,5.89426156839947e-06
741,5.9019570382686e-06
742,5.90965179664615e-06
743,5.91734584359801e-06
744,5.92503917919001e-06
745,5.93273180348802e-06
746,5.94042371655786e-06
747,5.94811491846541e-06
748,5.95580540927648e-06
749,5.96349518905689e-06
750,5.97118425787249e-06
751,5.97887261578904e-06
752,5.98656026287244e-06
753,5.99424719918838e-06
754,6.00193342480277e-06
755,6.00961893978133e-06
756,6.01730374418983e-06
757,6.02498783809411e-06
758,6.0326712215599e-06
759,6.040353894653e-06
760,6.04803585743914e-06
761,6.0557171099841e-06
762,6.06339765235357e-06
763,6.07107748461337e-06
764,6.07875660682922e-06
765,6.08643501906681e-06
766,6.09411272139188e-06
767,6.10178971387017e-06
768,6.10946599656736e-06
769,6.11714156954918e-06
770,6.12481643288134e-06
771,6.1324905866295e-06
772,6.14016403085935e-06
773,6.14783676563659e-06
774,6.15550879102689e-06
775,6.16318010709594e-06
776,6.17085071390937e-06
777,6.17852061153284e-06
778,6.18618980003202e-06
779,6.19385827947257e-06
780,6.20152604992007e-06
781,6.20919311144019e-06
782,6.21685946409856e-06
783,6.22452510796079e-06
784,6.23219004309251e-06
785,6.2398542695593e-06
786,6.2475177874268e-06
787,6.25518059676057e-06
788,6.26284269762623e-06
789,6.27050409008935e-06
790,6.27816477421549e-06
791,6.28582475007029e-06
792,6.29348401771922e-06
793,6.3011425772279e-06
794,6.30880042866187e-06
795,6.31645757208669e-06
796,6.32411400756789e-06
797,6.33176973517098e-06
798,6.33942475496154e-06
799,6.34707906700508e-06
800,6.35473267136708e-06
801,6.3623855681131e-06
802,6.3700377573086e-06
803,6.37768923901913e-06
804,6.38534001331014e-06
805,6.39299008024712e-06
806,6.4006394398956e-06
807,6.408288092321e-06
808,6.41593603758881e-06
809,6.42358327576449e-06
810,6.43122980691349e-06
811,6.43887563110128e-06
812,6.4465207483933e-06
813,6.45416515885498e-06
814,6.46180886255171e-06
815,6.46945185954901e-06
816,6.47709414991225e-06
817,6.48473573370684e-06
818,6.49237661099817e-06
819,6.5000167818517e-06
820,6.50765624633278e-06
821,6.51529500450679e-06
822,6.52293305643918e-06
823,6.53057040219527e-06
824,6.53820704184042e-06
825,6.54584297544007e-06
826,6.5534782030595e-06
827,6.56111272476412e-06
828,6.56874654061922e-06
829,6.57637965069021e-06
830,6.58401205504238e-06
831,6.59164375374109e-06
832,6.59927474685162e-06
833,6.60690503443931e-06
834,6.61453461656949e-06
835,6.62216349330744e-06
836,6.62979166471848e-06
837,6.6374191308679e-06
838,6.64504589182097e-06
839,6.65267194764298e-06
840,6.6602972983992e-06
841,6.66792194415492e-06
842,6.67554588497539e-06
843,6.68316912092587e-06
844,6.69079165207159e-06
845,6.69841347847781e-06
846,6.70603460020979e-06
847,6.71365501733276e-06
848,6.7212747299119e-06
849,6.72889373801246e-06
850,6.73651204169968e-06
851,6.74412964103874e-06
852,6.75174653609487e-06
853,6.75936272693322e-06
854,6.76697821361901e-06
855,6.77459299621741e-06
856,6.78220707479361e-06
857,6.78982044941279e-06
858,6.7974331201401e-06
859,6.80504508704073e-06
860,6.81265635017982e-06
861,6.82026690962247e-06
862,6.8278767654339e-06
863,6.8354859176792e-06
864,6.84309436642352e-06
865,6.85070211173197e-06
866,6.85830915366968e-06
867,6.86591549230173e-06
868,6.87352112769328e-06
869,6.88112605990939e-06
870,6.88873028901517e-06
871,6.89633381507573e-06
872,6.90393663815609e-06
873,6.91153875832137e-06
874,6.91914017563664e-06
875,6.92674089016698e-06
876,6.93434090197739e-06
877,6.94194021113297e-06
878,6.94953881769875e-06
879,6.95713672173979e-06
880,6.9647339233211e-06
881,6.97233042250769e-06
882,6.97992621936463e-06
883,6.98752131395692e-06
884,6.99511570634956e-06
885,7.00270939660754e-06
886,7.01030238479592e-06
887,7.01789467097958e-06
888,7.02548625522363e-06
889,7.03307713759295e-06
890,7.04066731815259e-06
891,7.04825679696746e-06
892,7.05584557410255e-06
893,7.06343364962282e-06
894,7.07102102359321e-06
895,7.07860769607867e-06
896,7.08619366714413e-06
897,7.0937789368545e-06
898,7.10136350527473e-06
899,7.10894737246977e-06
900,7.1165305385045e-06
901,7.12411300344381e-06
902,7.13169476735263e-06
903,7.13927583029585e-06
904,7.14685619233836e-06
905,7.15443585354504e-06
906,7.16201481398076e-06
907,7.16959307371039e-06
908,7.17717063279883e-06
909,7.18474749131088e-06
910,7.19232364931149e-06
911,7.19989910686541e-06
912,7.2074738640375e-06
913,7.21504792089261e-06
914,7.22262127749563e-06
915,7.23019393391128e-06
916,7.23776589020443e-06
917,7.2453371464399e-06
918,7.25290770268245e-06
919,7.26047755899694e-06
920,7.26804671544813e-06
921,7.27561517210081e-06
922,7.28318292901975e-06
923,7.29074998626975e-06
924,7.29831634391556e-06
925,7.30588200202198e-06
926,7.31344696065369e-06
927,7.32101121987554e-06
928,7.32857477975217e-06
929,7.33613764034843e-06
930,7.34369980172898e-06
931,7.35126126395856e-06
932,7.35882202710189e-06
933,7.36638209122373e-06
934,7.37394145638873e-06
935,7.38150012266161e-06
936,7.38905809010708e-06
937,7.39661535878984e-06
938,7.40417192877454e-06
939,7.41172780012592e-06
